,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
2690,2690,F32106,5424.0,E,5.0,2020-06-30 11:31:25.000,2020-06-30,2020-06-24 00:00:00,2020-06-30,,5440.0,0.0,0.0
2726,2726,F32142,161.0,E,5.0,2020-07-02 10:29:45.000,2020-07-02,2020-07-02 00:00:00,2020-08-01,,895.5000000000001,0.0,0.0
2727,2727,F32143,2385.0,E,5.0,2020-07-02 10:37:07.000,2020-07-02,2020-06-25 00:00:00,2020-08-01,,950.0,0.0,0.0
2728,2728,F32144,2385.0,E,5.0,2020-07-02 10:39:00.000,2020-07-02,2020-06-25 00:00:00,2020-08-01,,2160.0,0.0,0.0
2751,2751,F32167,4675.0,E,5.0,2020-07-03 14:47:32.000,2020-07-03,2020-06-29 00:00:00,2020-08-02,,7413.000000000001,0.0,0.0
2753,2753,F32169,3612.0,E,5.0,2020-07-03 16:29:12.000,2020-07-03,2020-07-03 00:00:00,2020-09-01,,1440.0000000000002,0.0,0.0
2754,2754,F32170,3612.0,E,5.0,2020-07-03 16:30:39.000,2020-07-03,2020-07-03 00:00:00,2020-09-01,,1236.0,0.0,0.0
2755,2755,F32171,3612.0,E,5.0,2020-07-03 16:35:20.000,2020-07-03,2020-07-03 00:00:00,2020-09-01,,720.0000000000001,0.0,0.0
2756,2756,F32172,3612.0,E,5.0,2020-07-03 16:37:17.000,2020-07-03,2020-07-03 00:00:00,2020-09-01,,1440.0000000000002,0.0,0.0
2775,2775,F32191,2385.0,E,5.0,2020-07-08 11:51:41.000,2020-07-08,2020-07-08 00:00:00,2020-08-07,,23340.000000000004,0.0,0.0
2824,2824,F32240,1289.0,E,5.0,2020-07-14 12:03:49.000,2020-07-14,2020-07-13 00:00:00,2020-08-13,,5631.18,0.0,0.0
2834,2834,F32250,3912.0,E,5.0,2020-07-15 09:47:17.000,2020-07-15,2020-06-24 00:00:00,2020-07-15,,2366.9,0.0,0.0
2836,2836,F32252,209.0,E,5.0,2020-07-15 10:15:32.000,2020-07-15,2020-07-03 00:00:00,2020-07-15,,957.0,0.0,0.0
2857,2857,F32273,4598.0,E,5.0,2020-07-17 12:03:02.000,2020-07-17,2020-07-13 00:00:00,2020-08-16,,9159.75,0.0,0.0
2866,2866,F32282,8061.0,E,5.0,2020-07-20 09:42:28.000,2020-07-20,2020-06-26 00:00:00,2020-07-20,,1579.0,0.0,0.0
2870,2870,F32286,2385.0,E,5.0,2020-07-20 11:35:50.000,2020-07-20,2020-07-10 00:00:00,2020-08-19,,70020.0,0.0,0.0
2890,2890,F32306,7051.0,E,5.0,2020-07-21 16:47:51.000,2020-07-21,2020-07-14 00:00:00,2020-07-21,,3317.28,0.0,0.0
2917,2917,F32333,3912.0,E,5.0,2020-07-24 11:43:19.000,2020-07-24,2020-07-23 00:00:00,2020-08-23,,6174.000000000001,0.0,0.0
2925,2925,F32341,2080.0,E,5.0,2020-07-24 14:15:30.000,2020-07-24,2020-08-05 00:00:00,2020-08-23,,80854.40000000001,0.0,0.0
2933,2933,F32349,4695.0,E,5.0,2020-07-27 10:05:38.000,2020-07-27,2020-07-21 00:00:00,2020-09-25,,22316.4,0.0,0.0
2948,2948,F32364,4452.0,E,5.0,2020-07-28 12:13:59.000,2020-07-28,2020-07-28 00:00:00,2020-07-28,,1653.1824,0.0,0.0
2951,2951,F32367,49.0,E,5.0,2020-07-28 12:52:15.000,2020-07-28,2020-07-28 00:00:00,2020-08-12,,6557.000000000001,0.0,0.0
2961,2961,F32377,161.0,E,5.0,2020-07-29 11:06:30.000,2020-07-29,2020-07-21 00:00:00,2020-08-28,,1954.0,0.0,0.0
2963,2963,F32379,5424.0,C,5.0,2020-07-29 11:55:57.000,2020-07-29,2020-07-29 00:00:00,2020-07-29,2020-07-31,5440.0,0.0,0.0
2975,2975,F32391,4598.0,E,5.0,2020-07-30 09:39:49.000,2020-07-30,2020-07-28 00:00:00,2020-08-29,,9159.75,0.0,0.0
2984,2984,F32400,5074.0,E,5.0,2020-07-30 13:23:55.000,2020-07-30,2020-07-25 00:00:00,2020-07-30,,12600.000000000002,0.0,0.0
2986,2986,F32402,3612.0,E,5.0,2020-07-30 14:23:54.000,2020-07-30,2020-07-30 00:00:00,2020-07-30,,21600.0,0.0,0.0
2987,2987,F32403,3612.0,E,5.0,2020-07-30 14:25:51.000,2020-07-30,2020-07-30 00:00:00,2020-07-30,,3600.0000000000005,0.0,0.0
2989,2989,F32405,3612.0,E,5.0,2020-07-30 15:55:57.000,2020-07-30,2020-07-30 00:00:00,2020-07-30,,5120.0,0.0,0.0
2992,2992,F32408,4598.0,E,5.0,2020-07-31 08:34:52.000,2020-07-31,2020-07-28 00:00:00,2020-08-30,,15266.250000000002,0.0,0.0
2998,2998,F32414,6084.0,E,5.0,2020-07-31 11:32:20.000,2020-07-31,2020-07-31 00:00:00,2020-07-31,,31000.000000000004,0.0,0.0
3005,3005,F32421,4452.0,E,5.0,2020-07-31 14:30:17.000,2020-07-31,2020-07-28 00:00:00,2020-07-31,,7204.200000000001,0.0,0.0
3013,3013,F32429,5424.0,E,5.0,2020-07-31 17:03:27.000,2020-07-31,2020-07-29 00:00:00,2020-07-31,,2720.0,0.0,0.0
3023,3023,F32439,161.0,E,5.0,2020-08-05 09:22:30.770,2020-08-05,2020-08-06 00:00:00,2020-09-04,,3700.000000000001,0.0,0.0
3028,3028,F32444,4786.0,E,5.0,2020-08-05 10:39:11.583,2020-08-05,2020-05-29 00:00:00,2020-08-20,,16640.0,0.0,0.0
3044,3044,F32460,6127.0,E,5.0,2020-08-05 17:02:32.530,2020-08-05,2020-08-06 00:00:00,2020-08-20,,3950.000000000001,0.0,0.0
3045,3045,F32461,4430.0,C,5.0,2020-08-05 17:24:43.927,2020-08-05,2020-07-29 00:00:00,2020-08-05,2020-08-20,9480.000000000002,0.0,0.0
3046,3046,F32462,1053.0,E,5.0,2020-08-05 17:29:05.747,2020-08-05,2020-08-07 00:00:00,2020-09-04,,17372.82,0.0,0.0
3049,3049,F32465,8061.0,E,5.0,2020-08-06 12:23:05.527,2020-08-06,2020-08-04 00:00:00,2020-08-06,,11940.0,0.0,0.0
3111,3111,F32527,4598.0,E,5.0,2020-08-13 16:56:04.537,2020-08-13,2020-08-13 00:00:00,2020-09-12,,17703.600000000002,0.0,0.0
3113,3113,F32529,4430.0,C,5.0,2020-08-13 17:23:03.873,2020-08-13,2020-07-29 00:00:00,2020-08-13,2020-08-17,9480.0,0.0,0.0
3132,3132,F32548,4430.0,E,5.0,2020-08-17 14:31:21.003,2020-08-17,2020-07-29 00:00:00,2020-08-17,,9480.0,0.0,0.0
3136,3136,F32552,5894.0,E,5.0,2020-08-18 08:09:18.760,2020-08-18,2020-08-13 00:00:00,2020-09-17,,8975.0,0.0,0.0
3137,3137,F32553,5894.0,E,5.0,2020-08-18 08:10:30.490,2020-08-18,2020-08-07 00:00:00,2020-09-17,,4241.8182,0.0,0.0
